Hero,Picked,Banned,Winrate,Wins,Presence,Team
Countess,3,4,100.0,3,,Immune
Riktor,6,7,83.33,5,,Immune
Fey,4,0,75.0,3,,Immune
Kira,7,0,57.14,4,,Immune
Kwang,1,13,100.0,1,,Immune
Steel,5,6,80.0,4,,Immune
Wukong,3,4,100.0,3,,Immune
Zarus,5,2,40.0,2,,Immune
Yurei,6,6,66.67,4,,Immune
Gideon,4,1,75.0,3,,Immune
Sparrow,1,0,0.0,0,,Immune
Terra,7,0,57.14,4,,Immune
Serath,0,1,0.0,0,,Immune
Grux,4,1,100.0,4,,Immune
FengMao,2,6,100.0,2,,Immune
Revenant,3,0,100.0,3,,Immune
Dekker,4,1,100.0,4,,Immune
Rampage,0,3,0.0,0,,Immune
Grim,6,2,83.33,5,,Immune
Greystone,3,1,66.67,2,,Immune
Howitzer,3,0,66.67,2,,Immune
Crunch,2,1,50.0,1,,Immune
Gadget,3,0,66.67,2,,Immune
Muriel,3,0,33.33,1,,Immune
Wraith,1,0,100.0,1,,Immune
Argus,2,0,100.0,2,,Immune
Sevarog,0,1,0.0,0,,Immune
Boris,1,1,100.0,1,,Immune
TwinBlast,1,1,100.0,1,,Immune
Phase,4,0,75.0,3,,Immune
Belica,3,0,66.67,2,,Immune
Skylar,3,0,100.0,3,,Immune
Skip,0,1,0.0,0,,Immune
Zinx,2,0,100.0,2,,Immune
Mourn,2,0,100.0,2,,Immune
Narbash,1,0,100.0,1,,Immune
Gideon,6,2,16.67,1,,Opponent
Grux,1,3,0.0,0,,Opponent
Grim,3,4,33.33,1,,Opponent
Greystone,6,8,16.67,1,,Opponent
Muriel,2,0,0.0,0,,Opponent
Yurei,1,8,0.0,0,,Opponent
Howitzer,0,2,0.0,0,,Opponent
Sparrow,1,1,0.0,0,,Opponent
Belica,9,1,11.11,1,,Opponent
Dekker,9,1,44.44,4,,Opponent
Rampage,5,0,40.0,2,,Opponent
Crunch,3,0,66.67,2,,Opponent
Steel,2,3,0.0,0,,Opponent
Zarus,4,2,0.0,0,,Opponent
Riktor,5,0,40.0,2,,Opponent
Kira,2,4,0.0,0,,Opponent
Wukong,2,12,50.0,1,,Opponent
TwinBlast,4,1,25.0,1,,Opponent
FengMao,4,0,50.0,2,,Opponent
Gadget,1,3,0.0,0,,Opponent
Serath,1,0,0.0,0,,Opponent
Sevarog,2,3,0.0,0,,Opponent
Countess,1,1,0.0,0,,Opponent
Terra,1,3,0.0,0,,Opponent
Mourn,3,0,0.0,0,,Opponent
Revenant,3,0,0.0,0,,Opponent
Phase,4,0,0.0,0,,Opponent
Narbash,1,0,0.0,0,,Opponent
Wraith,1,0,0.0,0,,Opponent
Khaimera,1,0,0.0,0,,Opponent
Skylar,4,0,50.0,2,,Opponent
Aurora,2,0,50.0,1,,Opponent
Murdock,3,0,33.33,1,,Opponent
Morigesh,4,0,50.0,2,,Opponent
Boris,1,0,0.0,0,,Opponent
Kallari,1,0,0.0,0,,Opponent
Kwang,2,0,50.0,1,,Opponent
Zinx,0,1,0.0,0,,Opponent
Gideon,10,3,,,61.9,Overall
Grux,5,4,,,42.86,Overall
Grim,9,6,,,71.43,Overall
Greystone,9,9,,,85.71,Overall
Muriel,5,0,,,23.81,Overall
Yurei,7,14,,,100.0,Overall
Howitzer,3,2,,,23.81,Overall
Sparrow,2,1,,,14.29,Overall
Countess,4,5,,,42.86,Overall
Riktor,11,7,,,85.71,Overall
Fey,4,0,,,19.05,Overall
Kira,9,4,,,61.9,Overall
Kwang,3,13,,,76.19,Overall
Steel,7,9,,,76.19,Overall
Wukong,5,16,,,100.0,Overall
Zarus,9,4,,,61.9,Overall
Terra,8,3,,,52.38,Overall
Serath,1,1,,,9.52,Overall
Belica,12,1,,,61.9,Overall
Dekker,13,2,,,71.43,Overall
Rampage,5,3,,,38.1,Overall
Crunch,5,1,,,28.57,Overall
FengMao,6,6,,,57.14,Overall
Revenant,6,0,,,28.57,Overall
TwinBlast,5,2,,,33.33,Overall
Gadget,4,3,,,33.33,Overall
Sevarog,2,4,,,28.57,Overall
Mourn,5,0,,,23.81,Overall
Wraith,2,0,,,9.52,Overall
Argus,2,0,,,9.52,Overall
Phase,8,0,,,38.1,Overall
Narbash,2,0,,,9.52,Overall
Boris,2,1,,,14.29,Overall
Khaimera,1,0,,,4.76,Overall
Skylar,7,0,,,33.33,Overall
Aurora,2,0,,,9.52,Overall
Murdock,3,0,,,14.29,Overall
Morigesh,4,0,,,19.05,Overall
Skip,0,1,,,4.76,Overall
Zinx,2,1,,,14.29,Overall
Kallari,1,0,,,4.76,Overall
